x(m), y(m), heading(deg)
41.604, 22.386, -155.81
41.512, 22.344, -154.65
41.420, 22.301, -153.49
41.330, 22.256, -152.33
41.240, 22.209, -151.17
41.152, 22.160, -150.01
41.064, 22.110, -148.86
40.978, 22.057, -147.70
40.892, 22.003, -146.54
40.808, 21.948, -145.38
40.725, 21.890, -144.22
40.643, 21.831, -143.06
40.562, 21.770, -141.91
40.482, 21.708, -140.75
40.404, 21.644, -139.59
40.327, 21.578, -138.43
40.252, 21.511, -137.27
40.177, 21.443, -136.12
40.104, 21.373, -134.96
40.033, 21.301, -133.80
39.963, 21.228, -132.64
39.895, 21.154, -131.48
39.828, 21.078, -130.32
39.762, 21.001, -129.17
39.698, 20.923, -128.01
39.636, 20.843, -126.85
39.576, 20.762, -125.69
39.517, 20.680, -124.53
39.459, 20.597, -123.37
39.404, 20.513, -122.22
39.350, 20.427, -121.06
39.298, 20.340, -119.90
39.247, 20.253, -118.74
39.199, 20.164, -117.58
39.152, 20.075, -116.42
39.107, 19.984, -115.27
39.064, 19.893, -114.11
39.022, 19.800, -112.95
38.983, 19.707, -111.79
38.946, 19.613, -110.63
38.910, 19.519, -109.48
38.876, 19.424, -108.32
38.844, 19.328, -107.16
38.815, 19.231, -106.00
38.787, 19.134, -104.84
38.761, 19.036, -103.68
38.737, 18.938, -102.53
38.715, 18.839, -101.37
38.695, 18.740, 171.77
7.878, 23.198, -81.82
8.590, 18.249, 2.89
90.000, 22.353, 180.00
5.000, 22.353, 5.39
49.577, 26.561, -83.36
49.588, 26.460, -82.19
49.602, 26.360, -81.03
49.618, 26.260, -79.87
49.636, 26.160, -78.71
49.656, 26.061, -77.55
49.677, 25.962, -76.39
49.701, 25.863, -75.23
49.727, 25.765, -74.07
49.755, 25.668, -72.91
49.785, 25.571, -71.74
49.816, 25.475, -70.58
49.850, 25.379, -69.42
49.886, 25.284, -68.26
49.923, 25.190, -67.10
49.963, 25.097, -65.94
50.004, 25.004, -64.78
50.047, 24.913, -63.62
50.092, 24.822, -62.46
50.139, 24.732, -61.29
50.188, 24.643, -60.13
50.238, 24.555, -58.97
50.290, 24.468, -57.81
50.344, 24.383, -56.65
50.400, 24.298, -55.49
50.457, 24.215, -54.33
50.517, 24.132, -53.17
50.577, 24.051, -52.01
50.640, 23.971, -50.85
50.704, 23.893, -49.68
50.769, 23.816, -48.52
50.836, 23.740, -47.36
50.905, 23.665, -46.20
50.975, 23.592, -45.04
51.047, 23.520, -43.88
51.120, 23.450, -42.72
51.194, 23.381, -41.56
51.270, 23.314, -40.40
51.347, 23.248, -39.23
51.426, 23.184, -38.07
51.505, 23.122, -36.91
51.586, 23.061, -35.75
51.669, 23.002, -34.59
51.752, 22.944, -33.43
51.837, 22.888, -32.27
51.922, 22.834, -31.11
52.009, 22.782, -29.95
52.097, 22.731, -28.79
52.186, 22.683, -27.62
52.275, 22.636, -26.46
52.366, 22.591, -25.30
52.458, 22.547, -24.14
52.550, 22.506, -22.98
52.643, 22.466, -21.82
52.737, 22.429, -20.66
52.832, 22.393, -19.50
52.928, 22.359, -18.34
53.024, 22.327, -17.17
53.121, 22.297, -16.01
53.218, 22.269, -14.85
53.316, 22.243, -13.69
53.415, 22.219, -12.53
53.513, 22.197, -11.37
53.613, 22.177, -10.21
53.712, 22.159, -9.05
53.813, 22.143, -7.89
53.913, 22.130, -6.72
54.014, 22.118, -5.56
54.114, 22.108, -4.40
54.215, 22.100, -3.24
54.317, 22.094, -2.08
54.418, 22.091, -0.92
54.519, 22.089, 0.24
54.620, 22.089, 1.40
54.722, 22.092, 2.56
54.823, 22.096, 3.72
54.924, 22.103, 4.89
55.025, 22.112, 6.05
55.126, 22.122, 7.21
55.226, 22.135, 8.37
55.327, 22.150, 9.53
55.426, 22.167, 10.69
55.526, 22.185, 11.85
55.625, 22.206, 13.01
55.724, 22.229, 14.17
55.822, 22.254, 15.34
55.920, 22.281, 16.50
56.017, 22.309, 17.66
56.114, 22.340, 18.82
56.209, 22.373, 19.98
56.305, 22.407, 21.14
56.399, 22.444, 22.30
56.493, 22.482, 23.46
56.586, 22.523, 24.62
56.678, 22.565, 25.79
56.769, 22.609, 26.95
56.859, 22.655, 28.11
56.949, 22.703, 29.27
57.037, 22.752, 30.43
